date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:39:48	71137/71137	---M--	200	added ('OK')	image/png	etag:%221d957b550c731e1%22	https://admin.nhatran111.vn/eData/ckEditor/image/Frame47263(1).png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/ckEditor/image/Frame47263(1).png	(from https://nhatran111.vn/)
09:39:49	66824/66824	---M--	200	added ('OK')	image/png	etag:%221d957b553297b08%22	https://admin.nhatran111.vn/eData/ckEditor/image/Frame47263(2).png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/ckEditor/image/Frame47263(2).png	(from https://nhatran111.vn/)
09:39:49	78959/78959	---M--	200	added ('OK')	image/png	etag:%221d957b5558bec6f%22	https://admin.nhatran111.vn/eData/ckEditor/image/Frame47263(3).png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/ckEditor/image/Frame47263(3).png	(from https://nhatran111.vn/)
09:39:49	397072/397072	---M--	200	added ('OK')	image/png	etag:%221d9d440b5586390%22	https://admin.nhatran111.vn/eData/ckEditor/Lichhoc_detail.png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/ckEditor/Lichhoc_detail.png	(from https://nhatran111.vn/)
09:39:50	297312/297312	---M--	200	added ('OK')	image/jpeg	etag:%221d9c534913b7ee0%22	https://admin.nhatran111.vn/eData/OpeningCalendar/KHOI8608%20-%20Copy%20(2).jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/OpeningCalendar/KHOI8608%20-%20Copy%20(2).jpg	(from https://nhatran111.vn/)
09:39:50	2848661/2848661	---M--	200	added ('OK')	image/png	etag:%221d9c533777a9295%22	https://admin.nhatran111.vn/eData/OpeningCalendar/KHOI3638%20-%20Copy%20(2)%20copy.png	D:/web_English_Center/Web/admin.nhatran111.vn/eData/OpeningCalendar/KHOI3638%20-%20Copy%20(2)%20copy.png	(from https://nhatran111.vn/)
09:39:51	294843/294843	---M--	200	added ('OK')	image/jpeg	etag:%221d9c52f918dbbbb%22	https://admin.nhatran111.vn/eData/OpeningCalendar/KHOI3663aaa.jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/OpeningCalendar/KHOI3663aaa.jpg	(from https://nhatran111.vn/)
09:39:51	175950/175950	---M--	200	added ('OK')	image/jpeg	etag:%221d9c52ed5ca3bce%22	https://admin.nhatran111.vn/eData/OpeningCalendar/KHOI3680.jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/OpeningCalendar/KHOI3680.jpg	(from https://nhatran111.vn/)
09:39:51	188244/188244	---M--	200	added ('OK')	image/jpeg	etag:%221d9c535555bbd54%22	https://admin.nhatran111.vn/eData/OpeningCalendar/KHOI8840%20-%20Copy.jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/OpeningCalendar/KHOI8840%20-%20Copy.jpg	(from https://nhatran111.vn/)
09:39:52	220846/220846	---M--	200	added ('OK')	image/jpeg	etag:%221d9c535b553562e%22	https://admin.nhatran111.vn/eData/OpeningCalendar/KHOI8733%20-%20Copy.jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/OpeningCalendar/KHOI8733%20-%20Copy.jpg	(from https://nhatran111.vn/)
09:39:52	214926/214926	---M--	200	added ('OK')	image/jpeg	etag:%221d9c535c306c98e%22	https://admin.nhatran111.vn/eData/OpeningCalendar/KHOI3686%20-%20Copy.jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/OpeningCalendar/KHOI3686%20-%20Copy.jpg	(from https://nhatran111.vn/)
09:39:52	237935/237935	---M--	200	added ('OK')	image/jpeg	etag:%221d9c535f3e6626f%22	https://admin.nhatran111.vn/eData/OpeningCalendar/KHOI3699%20-%20Copy.jpg	D:/web_English_Center/Web/admin.nhatran111.vn/eData/OpeningCalendar/KHOI3699%20-%20Copy.jpg	(from https://nhatran111.vn/)
